20211217	13:43:01 	a5d25d50-68b2-4063-85b6-9e727b52b2d3	GET	undefined	/css/style.css
20211217	13:43:17 	b6b8552a-5a22-4d87-a637-37f603c2d065	GET	undefined	/subdir/test
20211217	13:43:17 	c38883d0-aa41-4229-a84c-bc5f766fdf38	GET	undefined	/css/style.css
20211217	13:43:31 	e661f698-70e0-4814-a797-e8cc17f6a380	GET	undefined	/subdir/dave
20211217	13:43:31 	277ab217-b8f5-4d84-aa96-06978a9de932	GET	undefined	/subdir/css/style.css
20211217	13:44:29 	c8b0baa0-c4af-48ee-852d-ab482db8e59b	GET	undefined	/subdir/
20211217	13:44:29 	509e6808-77f5-49c6-80d6-913f8651ef27	GET	undefined	/subdir/css/style.css
20211217	13:44:53 	4b9b3c9f-fa9b-4e7d-81a6-c3a7dee6de07	GET	undefined	/subdir/
20211217	13:44:53 	cb4aa4b3-17ee-4b4b-9736-3f613c7fc86e	GET	undefined	/subdir/css/style.css
20211217	14:12:32 	5a03e668-5ea7-4411-8dda-2dc75c10e65e	GET	undefined	/
20211217	14:12:32 	1dbf89b9-1537-4c45-8272-1d7084198280	GET	undefined	/css/style.css
20211217	14:12:39 	7d23d38e-e9a1-4f58-9667-5edd65e152bd	GET	undefined	/new-page.html
20211217	14:12:39 	077a9962-787a-4a96-b359-04b048efa4e2	GET	undefined	/css/style.css
20211217	14:12:39 	582dcdc0-d06a-44aa-82f2-2726c9d3d9ac	GET	undefined	/img/img-test.png
20211217	14:12:43 	745ae4a5-cb5f-4581-8b20-0a412e1b26ea	GET	undefined	/new-page
20211217	14:12:43 	68ae0ea5-7aae-419e-9fde-d7cd5ea7b49f	GET	undefined	/css/style.css
20211217	14:12:43 	56bd053c-7aaa-40ea-92b2-cd3f7d31c418	GET	undefined	/img/img-test.png
20211217	14:12:46 	0a6adbe9-7311-4196-85cb-39180154f744	GET	undefined	/new-page
20211217	14:12:46 	71dab26f-5f35-48f8-8325-1c864e424cd8	GET	undefined	/css/style.css
20211217	14:12:46 	e9cbd923-4b65-4a55-bbf4-a48077cf999e	GET	undefined	/img/img-test.png
20211217	14:12:47 	49dcb477-1385-4adf-a75f-6e9ca57915bb	GET	undefined	/new-page
20211217	14:12:47 	60b5b1cd-5b93-4d93-b50c-079651725c2d	GET	undefined	/css/style.css
20211217	14:12:47 	9f7f3509-8dbc-48b5-8e86-c7196eff49a4	GET	undefined	/img/img-test.png
20211217	14:12:47 	82835a49-fb66-4b2d-9989-7a0745c706e9	GET	undefined	/new-page
20211217	14:12:48 	be81862b-56f2-421d-9a00-5b8f4e6855ca	GET	undefined	/css/style.css
20211217	14:12:48 	cbcae994-c501-4126-aecd-f15d781313ae	GET	undefined	/img/img-test.png
20211217	14:12:48 	c882d24c-8a91-40ee-89ed-e7859f926c71	GET	undefined	/new-page
20211217	14:12:48 	47c98df5-f9a3-4f0f-9332-13932b26e5df	GET	undefined	/css/style.css
20211217	14:12:48 	5c8a422a-68f5-4cec-a899-0129715be1d1	GET	undefined	/img/img-test.png
20211217	14:12:48 	136e5e82-7e35-403d-8e1a-7413e90b988e	GET	undefined	/new-page
20211217	14:12:48 	3a2c0a35-bee5-4053-9ef1-79747ca20242	GET	undefined	/css/style.css
20211217	14:12:48 	650ad11b-1a5c-4261-b072-0efec1a7e99d	GET	undefined	/img/img-test.png
20211217	14:12:48 	b6d3d1e4-34ed-47a3-a6d1-08c1f6747cf7	GET	undefined	/new-page
20211217	14:12:48 	12357d92-a051-4fe3-9eb6-5d20b600f301	GET	undefined	/css/style.css
20211217	14:12:48 	0a6a5378-5d90-4d48-8575-f8441ff8f69a	GET	undefined	/img/img-test.png
20211217	14:12:48 	cc0d0f4d-b2eb-4469-a0fe-184b186f6dfc	GET	undefined	/new-page
20211217	14:12:48 	63d96e60-0eff-435a-8430-49060b442658	GET	undefined	/css/style.css
20211217	14:12:48 	a9f1bdff-957c-4607-8ce6-595efc462243	GET	undefined	/img/img-test.png
20211217	14:12:48 	60eb0548-b582-4412-813a-dff3ba4b519f	GET	undefined	/new-page
20211217	14:12:49 	7083284c-25d2-41f8-99de-86990ca10f28	GET	undefined	/css/style.css
20211217	14:12:49 	efe18899-f3e6-48aa-811c-cd119db2c689	GET	undefined	/img/img-test.png
